Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtCreateStream,538.68,1,538.68,538.68,538.68,0
host,acl,aclrtFree,1822.37,7,260.339,2.43,1538.02,279227.618
host,acl,aclrtFreeHost,11.42,1,11.42,11.42,11.42,0
host,acl,aclrtMalloc,515.29,7,73.613,2.21,268.56,8369.121
host,acl,aclrtMallocHost,189.31,1,189.31,189.31,189.31,0
host,acl,aclrtMemcpy,1300.96,5,260.192,12.39,777.19,87775.432
host,acl,aclrtMemset,1871.97,1,1871.97,1871.97,1871.97,0
host,acl,aclrtResetDevice,464868,1,464868,464868,464868,0
host,acl,aclrtSynchronizeStream,37671.27,22,1712.33,2.33,1821.24,139300.599
