Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293415497.300	,603.400,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,21156440,0.0,0.049,0.0,0.162,0.0,0.071,0.0,0.386,0.0,0.28,0.014,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.395
0,4294967295,1,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293416229.980	,587.420,129.350000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20612387,0.0,0.05,0.0,0.159,0.0,0.073,0.0,0.392,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.471
0,4294967295,2,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293416945.400	,595.480,128.080000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20777996,0.0,0.05,0.0,0.16,0.0,0.072,0.0,0.39,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.925
0,4294967295,3,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293417659.880	,594.200,119.020000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20699873,0.0,0.05,0.0,0.16,0.0,0.073,0.0,0.39,0.0,0.283,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.768
0,4294967295,4,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293418363.060	,598.180,108.800000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20812071,0.0,0.05,0.0,0.159,0.0,0.072,0.0,0.391,0.0,0.283,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.645
0,4294967295,5,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293419070.840	,587.840,109.570000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20662846,0.0,0.05,0.0,0.16,0.0,0.073,0.0,0.39,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.640
0,4294967295,6,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293419764.180	,594.240,105.660000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20819830,0.0,0.05,0.0,0.159,0.0,0.072,0.0,0.39,0.0,0.281,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.322
0,4294967295,7,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293420463.860	,591.240,105.260000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20748713,0.0,0.05,0.0,0.159,0.0,0.072,0.0,0.39,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.482
0,4294967295,8,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293421162.120	,595.960,107.010000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20741425,0.0,0.05,0.0,0.16,0.0,0.073,0.0,0.39,0.0,0.283,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.676
0,4294967295,9,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293421865.280	,592.100,107.290000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20734324,0.0,0.05,0.0,0.159,0.0,0.073,0.0,0.391,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.273
0,4294967295,10,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293422569.300	,594.660,111.900000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20775379,0.0,0.05,0.0,0.16,0.0,0.072,0.0,0.39,0.0,0.283,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.046
0,4294967295,11,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293423273.660	,595.860,109.840000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20711029,0.0,0.05,0.0,0.159,0.0,0.073,0.0,0.391,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.551
0,4294967295,12,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293423986.460	,591.840,116.890000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20805754,0.0,0.05,0.0,0.16,0.0,0.072,0.0,0.389,0.0,0.282,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.651
0,4294967295,13,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293424690.460	,588.220,112.160000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20685760,0.0,0.05,0.0,0.159,0.0,0.073,0.0,0.391,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.685
0,4294967295,14,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293425387.960	,594.040,109.280000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20785273,0.0,0.05,0.0,0.16,0.0,0.072,0.0,0.39,0.0,0.283,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.194
0,4294967295,15,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293426088.420	,593.560,106.460000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20700107,0.0,0.05,0.0,0.16,0.0,0.073,0.0,0.392,0.0,0.284,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.874
0,4294967295,16,47,spmm_kernel,spmm_kernel,N/A,MIX_AIC,1782029293426794.560	,596.520,112.440000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,20794947,0.0,0.05,0.0,0.159,0.0,0.072,0.0,0.389,0.0,0.283,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.835
