Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclrtCreateStream,541.02,1,541.02,541.02,541.02,0
host,acl,aclrtFree,347.33,7,49.619,2.05,319.07,12120.092
host,acl,aclrtFreeHost,10.96,1,10.96,10.96,10.96,0
host,acl,aclrtMalloc,269.02,7,38.431,2.19,110.32,1365.265
host,acl,aclrtMallocHost,146.92,1,146.92,146.92,146.92,0
host,acl,aclrtMemcpy,911.89,5,182.378,12.68,784.44,91283.531
host,acl,aclrtMemset,1872.37,1,1872.37,1872.37,1872.37,0
host,acl,aclrtResetDevice,294458.63,1,294458.63,294458.63,294458.63,0
host,acl,aclrtSynchronizeStream,6650.54,22,302.297,2.28,346.34,4348.69
